;id;name;image_path;type;region;country;winery;tastes;year
21074546;21074546;Desom Remich Primerberg Grand Premier Cru Auxerrois 2014;Images_saved\img_188.jpg;2;Moselle;Luxembourg;Desom;[['microbio', 3, 300], ['tropical_fruit', 2, 400], ['earth', 2, 200]];2014
3828643;3828643;Bernard-Massard Sélection Demi-Sec 2008;Images_saved\img_189.jpg;3;Crémant de Luxembourg;Luxembourg;Bernard-Massard;[['tree_fruit', 9, 1100], ['microbio', 4, 266], ['citrus_fruit', 4, 600], ['spices', 2, 106], ['non_oak', 2, 176], ['oak', 2, 152], ['dried_fruit', 1, 100], ['vegetal', 1, 100], ['earth', 1, 200], ['red_fruit', 1, 100]];2008
161361882;161361882;Madame Aly Duhr & Fils Barrique White 2018;Images_saved\img_190.jpg;2;Moselle;Luxembourg;Madame Aly Duhr & Fils;[['oak', 18, 2304], ['microbio', 11, 1040], ['non_oak', 10, 920], ['spices', 7, 306], ['tree_fruit', 7, 900], ['earth', 6, 720], ['black_fruit', 4, 387], ['red_fruit', 4, 313], ['vegetal', 3, 510], ['citrus_fruit', 2, 200], ['tropical_fruit', 1, 100]];2018
43373718;43373718;Domaine Henri Ruppert Barrique Pinot Blanc 2014;Images_saved\img_191.jpg;2;Moselle;Luxembourg;Domaine Henri Ruppert;[['oak', 9, 1041], ['microbio', 5, 399], ['non_oak', 4, 36], ['spices', 4, 49], ['vegetal', 2, 225], ['tree_fruit', 2, 200], ['citrus_fruit', 2, 300], ['black_fruit', 1, 11], ['tropical_fruit', 1, 100], ['floral', 1, 25], ['dried_fruit', 1, 89], ['earth', 1, 125]];2014
23052793;23052793;Mathis Bastian Remich Primerberg Riesling 2014;Images_saved\img_192.jpg;2;Moselle;Luxembourg;Mathis Bastian;[['earth', 10, 1200], ['tree_fruit', 9, 1100], ['tropical_fruit', 6, 399], ['microbio', 3, 201], ['citrus_fruit', 1, 100], ['floral', 1, 100], ['non_oak', 1, 100]];2014
153271730;153271730;Domaines Vinsmoselle Pinot 2017;Images_saved\img_193.jpg;2;Luxembourg;Luxembourg;Domaines Vinsmoselle;[['earth', 14, 1400], ['tree_fruit', 11, 1400], ['citrus_fruit', 6, 700], ['oak', 3, 202], ['microbio', 3, 300], ['non_oak', 3, 159], ['tropical_fruit', 2, 133], ['spices', 2, 106], ['floral', 1, 200], ['vegetal', 1, 100]];2017
159892187;159892187;Domaines Vinsmoselle Rivaner 2019;Images_saved\img_194.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 20, 2700], ['citrus_fruit', 16, 1800], ['earth', 12, 1300], ['vegetal', 7, 800], ['microbio', 7, 700], ['tropical_fruit', 4, 500], ['oak', 3, 195], ['floral', 3, 300], ['non_oak', 3, 193], ['spices', 2, 12]];2019
153154321;153154321;Domaines Vinsmoselle Rivaner 2016;Images_saved\img_195.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 20, 2700], ['citrus_fruit', 16, 1800], ['earth', 12, 1300], ['vegetal', 7, 800], ['microbio', 7, 700], ['tropical_fruit', 4, 500], ['oak', 3, 195], ['floral', 3, 300], ['non_oak', 3, 193], ['spices', 2, 12]];2016
155016220;155016220;Château de Schengen Auxerrois 2016;Images_saved\img_196.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['tree_fruit', 6, 800], ['citrus_fruit', 5, 600], ['tropical_fruit', 3, 300], ['earth', 2, 200], ['red_fruit', 1, 100], ['vegetal', 1, 100], ['oak', 1, 100]];2016
152720293;152720293;Château Pauque Pinot Gris Schengen 2001;Images_saved\img_197.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 5, 600], ['tropical_fruit', 1, 300], ['tree_fruit', 1, 100], ['floral', 1, 100]];2001
